 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,Cluster,Bankrupt?,Index
0.50402184,0.570976886,0.554526474,0.618321106,0.618313899,0.999130854,0.797597801,0.809487949,0.303549904,0.781759028,0.000234395,0.000175388,0.471108763,0.0,0.117420792,0.195019173,0.195019173,0.195019173,0.227947433,0.322416354,0.01556332,0.107564531,0.182119455,0.022109406,0.848063191,0.689486077,0.689486077,0.217602663,6900000000.0,0.0004515,0.264110155,0.378022428,0.040892228,0.035548923,0.630612252,0.001757266,0.047555703,0.952444297,0.006380874,0.369637181,0.005365848,0.107520315,0.181155267,0.396898273,0.07946027,0.000986071,0.006407733,8920000000.0,0.000279148,0.019032258,0.020704141,0.403676986,0.009511886,0.934939165,0.736647145,0.786761375,0.531692143,0.036821226,0.076584404,0.036443041,0.360925384,0.277035136,0.010851806,0.689629024,0.74102558,0.327325949,0.0,0.94773838,0.00242415,0.020201205,0.000414138,0.000393813,0.594164788,0.000745913,0.671647102,0.142880074,0.689629024,0.327325949,0.110933234,0.711913433,0.494118637,0.597656745,0.322260954,0.007072215,0,0.818917845,0.000837337,0.624583229,0.618316222,0.841313219,0.276053789,0.0267912,0.565158602,1,0.080762063,6,0,117
0.473943353,0.551515482,0.528454414,0.610163018,0.610163018,0.998959266,0.797469698,0.809391473,0.303685014,0.781625975,0.00027533,0.000128018,0.467372906,0.0,0.0,0.1947242,0.1947242,0.1947242,0.219249315,0.321885832,0.017469032,0.095106262,0.17556677,0.022109816,0.848148021,0.689910314,0.689921827,0.217662423,6860000000.0,0.000458387,0.264596592,0.382251034,0.031425799,0.028193221,0.630612252,0.002579816,0.064939384,0.935060616,0.027433306,0.369637181,0.005365848,0.095078737,0.174262876,0.397143443,0.083958021,0.000511296,0.012365456,19100000.0,0.00376055,0.020483871,0.004911652,0.39190656,0.000146771,0.932208472,0.854892798,0.819009556,0.488639568,0.031560493,0.052092849,0.049406324,0.353284659,0.27697486,0.0,0.698167542,0.741561527,0.327852199,0.0,0.935099764,0.002303532,0.026147364,0.000410741,0.000436132,0.594149581,0.000653539,0.671643607,0.009744549,0.698167542,0.327852199,0.110933234,0.711907944,0.485373534,0.592095606,0.322835178,0.009272944,0,0.807211568,0.00099128,0.624504279,0.610158271,0.840711112,0.276650422,0.026791157,0.565158396,1,0.059391971,6,0,137
0.498220641,0.549716529,0.54901226,0.616742818,0.616951815,0.999062681,0.797460429,0.80937611,0.303452258,0.781668782,0.000280765,0.000283881,0.484532347,0.0,0.084320275,0.184442291,0.184442291,0.184442291,0.221707478,0.328393577,0.015669192,0.102678935,0.174738269,0.022064367,0.847983902,0.689229769,0.689229769,0.217578747,7500000000.0,0.00046792,0.263500944,0.387457621,0.027703502,0.022971053,0.630627663,0.001737204,0.047071984,0.952928016,0.006477731,0.369637181,0.005365848,0.102317325,0.173290099,0.3966732,0.097451274,0.001241719,0.005096983,9760000000.0,0.000389596,0.021290323,0.020301691,0.398837656,0.007427684,0.869521867,0.495523045,0.552301959,0.292832689,0.023955104,0.040695634,0.037789114,0.39113266,0.277064269,0.010023518,0.721976341,0.737782787,0.327366156,0.0,0.934834838,0.002279011,0.036397995,0.00023927,0.000219686,0.594050359,0.000345523,0.671620653,0.135275855,0.721976341,0.327366156,0.110933234,0.695948358,0.486296368,0.646258692,0.320469195,0.010545619,0,0.806402865,0.006030317,0.624142513,0.616740593,0.840618558,0.276038991,0.02679553,0.565179163,1,0.081530778,6,0,162
0.482523278,0.527365896,0.526955404,0.597904265,0.597904265,0.998991388,0.797383511,0.809297341,0.303467243,0.781560992,4640000000.0,374000000.0,0.472895331,0.000218022,0.0,0.175298133,0.175298133,0.175298133,0.214143897,0.318950272,0.018164769,0.097793339,0.170143858,0.022139179,0.849713379,0.688978539,0.688978539,0.217550876,6210000000.0,0.000444213,0.263811766,0.378450877,0.049528083,0.025715327,0.630183148,0.00073683,0.021979019,0.978020981,0.005544948,0.369637181,0.005365848,0.097790154,0.169180303,0.396280661,0.136431784,0.00191939,0.003293527,0.00024209,0.000221654,0.02516129,0.024746266,0.394473214,0.014017715,0.841279967,0.313258743,0.372033014,0.025242675,0.040207207,0.009209834,0.014098069,0.35931188,0.277083526,0.024397061,0.53259988,0.735982468,0.326578797,0.0,0.930659002,0.00221632,0.026935045,9910000000.0,8720000000.0,0.593983141,1970000000.0,0.671569498,0.316228869,0.53259988,0.326578797,0.110933234,0.638295309,0.45466463,0.580005877,0.31409724,0.005793984,0,0.79379643,0.002319186,1.0,0.597900483,0.839932,0.275313508,0.027125306,0.566368921,1,0.163346659,6,0,163
0.538439039,0.592836895,0.576904545,0.625109904,0.625109904,0.999125539,0.797580093,0.809447979,0.303530085,0.781716642,0.00034876,2160000000.0,0.478580475,0.0,0.252960826,0.219038389,0.219038389,0.219038389,0.240710977,0.329277782,0.038734365,0.124989822,0.200045191,0.022099766,0.848023182,0.689394236,0.689394236,0.217592814,7150000000.0,0.000495844,0.263933764,0.383433926,0.047118106,0.044458613,0.630612252,0.00119826,0.034162711,0.965837289,0.02881378,0.369637181,0.005365848,0.124961324,0.196893145,0.397459617,0.157421289,0.000957666,0.006598155,0.000182284,0.00819514,0.029193548,0.011976558,0.398509758,0.000205329,0.964958757,0.877928101,0.894795435,0.728453049,0.04442667,0.106313443,0.035961083,0.388337649,0.277009225,0.007288791,0.922523208,0.741970388,0.327252393,0.0,0.963369338,0.002329767,0.059781105,0.000234845,0.000236405,0.594063665,0.00052383,0.671612979,0.010400945,0.922523208,0.327252393,0.110933234,0.71612005,0.509087755,0.622342013,0.322315489,0.006103874,0,0.830886324,0.000349162,0.624088536,0.625107592,0.841878149,0.275648149,0.026791157,0.565158396,1,0.1103524,6,0,177
0.480232048,0.528347143,0.522726056,0.607280301,0.607280301,0.999016346,0.797391674,0.809301637,0.303429297,0.781562676,0.000171951,3450000000.0,0.461097271,0.000209021,0.0,0.180565505,0.180565505,0.180565505,0.214238442,0.317394072,0.029190677,0.102760362,0.171122995,0.022056987,0.84798002,0.689107343,0.689107343,0.2175612,5870000000.0,0.000412346,0.263320667,0.370207891,0.022447356,0.019825649,0.630134861,0.001465452,0.040723161,0.959276839,0.00808009,0.370619102,0.005365848,0.102431319,0.170122917,0.399339249,0.181409295,0.00077506,0.008148853,0.000580289,0.001903348,0.030967742,0.024637575,0.396508446,0.002366185,0.858954845,0.522265724,0.538815233,0.11232159,0.020980153,0.012993303,0.045494418,0.339789975,0.277023516,0.004137558,0.995647373,0.737129405,0.327572884,0.0,0.93095463,0.002224288,0.047909913,0.000106234,0.000108399,0.593975018,6480000000.0,0.671547401,0.072643124,0.995647373,0.327572884,0.110933234,0.587090319,0.426806104,0.5633168,0.308503006,0.01305225,0,0.794360786,0.000582109,0.624056082,0.60727839,0.839954579,0.275841898,0.026852832,0.565436259,1,0.093638612,6,0,195
0.520694194,0.650730484,0.569730714,0.630118624,0.630118624,0.999172104,0.797953059,0.809816047,0.304084301,0.781800852,0.000382526,8400000000.0,0.47273932,0.000189019,0.05648345,0.192954363,0.192954363,0.192954363,0.230311052,0.326625168,0.015094454,0.110088755,0.203434511,0.022110875,0.84805805,0.691280292,0.691271462,0.217619381,9340000000.0,0.000625931,0.265719436,0.387979211,0.021828325,0.01807141,0.630629032,0.00242479,0.06185567,0.93814433,0.005650454,0.370231031,0.006217705,0.110060742,0.200128195,0.396251187,0.083958021,0.000807523,0.00782266,0.000159928,0.00019215,0.021612903,0.009670549,0.398747202,0.007916804,0.871104839,0.602066276,0.60642813,0.088117639,0.020895406,0.008823121,0.052634179,0.367359228,0.277008564,0.002758595,0.780026862,0.738233033,0.327937929,0.0,0.951837484,0.002527849,0.034890781,0.000336738,0.000340868,0.594088109,0.000131118,0.671557837,0.2399918,0.780026862,0.327937929,0.110933234,0.630356763,0.454294903,0.620179464,0.313078874,0.013425894,0,0.856804325,0.00053124,0.624131855,0.630115476,0.843617273,0.27653764,0.026796048,0.56518161,1,0.062378676,6,0,204
0.469458392,0.535324902,0.521119974,0.610083743,0.610083743,0.998981682,0.79739278,0.809318433,0.30350374,0.781577132,0.000251741,0.000262149,0.460904356,0.0,0.035327462,0.1865071,0.1865071,0.1865071,0.215940248,0.317146495,0.027224466,0.097874766,0.171198313,0.022057224,0.84794247,0.689151287,0.689151287,0.217564946,5840000000.0,0.00043498,0.263381278,0.369267166,0.027595546,0.023252405,0.630612252,0.002235111,0.057955679,0.942044321,0.016182537,0.369637181,0.005365848,0.097855293,0.170198326,0.39947992,0.142428786,0.001000274,0.006322342,9520000000.0,0.00401776,0.028387097,0.026529383,0.393794803,0.000888268,0.944978673,0.804281853,0.907792537,0.613862176,0.023545611,0.051959254,0.062351161,0.339228997,0.277071695,0.010802388,0.984705771,0.741938081,0.328228704,0.0,0.934012259,0.002240556,0.045420641,0.000243923,0.000220802,0.594052691,0.000450959,0.67155394,0.019886013,0.984705771,0.328228704,0.110933234,0.610600372,0.445668545,0.561757672,0.310803857,0.010587505,0,0.798769013,0.000745482,0.624135225,0.610084559,0.84020335,0.276399896,0.026791157,0.565158396,1,0.066558152,6,0,213
0.537902793,0.569341474,0.57412067,0.642067484,0.642067484,0.999097461,0.797542741,0.809418164,0.303523559,0.781670045,0.000648952,3920000000.0,0.48412974,0.0,0.276748659,0.175550967,0.175550967,0.175550967,0.222369292,0.324503077,0.016833795,0.105935999,0.17978459,0.022097427,0.848127717,0.689925001,0.689925001,0.217627989,6460000000.0,0.000458487,0.264314521,0.388221378,0.045069438,0.03220701,0.630624923,0.001086094,0.031290625,0.968709375,0.008265795,0.369637181,0.005365848,0.105924406,0.178825126,0.399366043,0.124437781,0.001089548,0.00579975,2140000000.0,0.000625624,0.024354839,0.006383385,0.39484634,0.000916969,0.936177003,0.589835283,0.779166357,0.13581452,0.032849052,0.021754351,0.03272324,0.402749633,0.277133044,0.031882128,0.907936784,0.740526861,0.327144784,0.0,0.939043932,0.002269262,0.097982571,0.000250874,0.000192941,0.594072144,0.000119211,0.6715943,0.07137159,0.907936784,0.327144784,0.110933234,0.675359986,0.483123019,0.634204682,0.31796292,0.006393156,0,0.818506746,0.000366354,0.623906658,0.64206652,0.841214129,0.275566498,0.026794027,0.565172043,1,0.119587296,6,0,227
0.545751475,0.604829917,0.591894641,0.631336572,0.63127171,0.99930325,0.797841003,0.809669575,0.303614438,0.781955519,0.00026978,0.000194065,0.46542194,0.0,0.166008705,0.199485905,0.199485905,0.199485905,0.233525574,0.318738063,0.01096541,0.112694406,0.189651277,0.022183996,0.848160832,0.689644023,0.689645292,0.217619908,0.00012803,0.000662689,0.264640107,0.374529637,0.059529923,0.053269111,0.630612252,0.000634695,0.019106932,0.980893068,0.007304397,0.369637181,0.005365848,0.112609312,0.187082422,0.396766981,0.073463268,0.00067767,0.009332371,7240000000.0,0.000286713,0.017580645,0.021597168,0.416589403,0.009637195,0.912018794,0.615735592,0.651518776,0.483768598,0.05406255,0.121989568,0.020611699,0.351268394,0.277027204,0.014448304,0.874200522,0.739079255,0.326758968,0.0,0.94270946,0.002534659,0.019005398,0.000467796,0.000448551,0.594211731,0.000920308,0.671826525,0.102342111,0.874200522,0.326758968,0.110933234,0.815821265,0.652122353,0.572383123,0.331884595,0.004774688,0,0.829857298,0.001371203,0.624711579,0.631334184,0.841727817,0.275239419,0.026791157,0.565158396,1,0.18367136,6,0,241
